index,obj_pos_x,obj_pos_y,obj_pos_z,obj_qtn_0,obj_qtn_1,obj_qtn_2,obj_qtn_3,obs_pos_x,obs_pos_y,obs_pos_z,obs_qtn_0,obs_qtn_1,obs_qtn_2,obs_qtn_3,start_energy,start_gravity_energy,start_elastic_energy,escape_energy_cost
584,1.0634819157681015,0.006892348140398678,1.564218521995238,-0.19682391640911767,0.9512282088223459,-0.00996422114024031,0.23733089762413231,0,0,2,0.6988882962338909,-0.10571078187807806,0.10562663504969944,0.6994450614237633,1.564218521995238,,,0.7947585961416661
592,1.085934802916022,-0.010536132558866205,1.5717405375798876,-0.19537145566769218,0.949547738668049,-0.024862601334041588,0.2440715824416806,0,0,2,0.6988882962338909,-0.10571078187807806,0.10562663504969944,0.6994450614237633,1.5717405375798876,,,0.7927142921179915
600,1.1056439810089054,-0.027434125819259976,1.5753983765397337,-0.19371381389358283,0.9483290246669429,-0.03994597790422145,0.24809542142152194,0,0,2,0.6988882962338909,-0.10571078187807806,0.10562663504969944,0.6994450614237633,1.5753983765397337,,,0.7843412645424748
608,1.1253061740694617,-0.04429183567687263,1.5681588968402522,-0.19204104833342756,0.9468896023550794,-0.05500159297584905,0.25198242295238943,0,0,2,0.6988882962338909,-0.10571078187807806,0.10562663504969944,0.6994450614237633,1.5681588968402522,,,0.812770665348705
616,1.1383876204835852,-0.05676737150102553,1.5719409811573204,-0.18866192210488736,0.9482386638179725,-0.07124559906294743,0.24530426046556422,0,0,2,0.6988882962338909,-0.10571078187807806,0.10562663504969944,0.6994450614237633,1.5719409811573204,,,0.8191698356572465
624,1.1477231636004475,-0.06952767703548182,1.5716143518333594,-0.18442773911148058,0.9496846292390864,-0.08666990233341336,0.23785256370862054,0,0,2,0.6988882962338909,-0.10571078187807806,0.10562663504969944,0.6994450614237633,1.5716143518333594,,,0.7814378319345792
632,1.1457054096731816,-0.08759800437315174,1.5742159253091361,-0.1791204248308518,0.9502581596691269,-0.09783177963157891,0.23527483138826716,0,0,2,0.6988882962338909,-0.10571078187807806,0.10562663504969944,0.6994450614237633,1.5742159253091361,,,0.7965621071694118
640,1.1406189057377567,-0.10636130525585562,1.5740979756961544,-0.173208066362157,0.9512474089379014,-0.10780812058508743,0.2313109203473169,0,0,2,0.6988882962338909,-0.10571078187807806,0.10562663504969944,0.6994450614237633,1.5740979756961544,,,0.8056819307149976
648,1.1324130170412978,-0.12542420404741716,1.5718786627147254,-0.1666725253047152,0.9526437225043975,-0.11671074031466354,0.2259840931940049,0,0,2,0.6988882962338909,-0.10571078187807806,0.10562663504969944,0.6994450614237633,1.5718786627147254,,,0.7976631581140825
656,1.1209696223419954,-0.1441688867391966,1.5677867645919699,-0.15948636920127526,0.9543788727521221,-0.12478543219170327,0.21943942489013468,0,0,2,0.6988882962338909,-0.10571078187807806,0.10562663504969944,0.6994450614237633,1.5677867645919699,,,0.7724732204457798
664,1.1062696399375633,-0.1622691775592564,1.5619783261159346,-0.1516065657350417,0.9564136880775903,-0.13209304153217644,0.21175394887138932,0,0,2,0.6988882962338909,-0.10571078187807806,0.10562663504969944,0.6994450614237633,1.5619783261159346,,,0.8129386973565906
